budget_bucket,n,avg_budget,q_mean,gov_mean,q_minus_gov,q_vol,q_es5,gov_es5,gap_es5,q_return_in_qpp_tail_months,gov_return_in_qpp_tail_months
low,1115,0.42743512858343835,0.003841260400875972,0.0033700073050828357,0.0004712530957931363,0.02526097613952992,-0.059704669065352135,-0.058977425412130004,-0.02731186794536223,-0.019276863778927296,-0.02230338537628988
mid,1146,0.665738919848032,0.0039589576992737205,0.004018102580297108,-5.914488102338805e-05,0.024032929431539424,-0.0467747306992104,-0.046067023478733427,-0.031002087188020232,-0.002713706710798508,-0.006822743562698074
high,1084,0.8523815418053489,0.003327363210891159,0.0027131340652925937,0.0006142291455985651,0.013679839277516257,-0.02755055908668127,-0.027670330783762763,-0.019768287165846887,-0.003662085606572862,-0.00342505862687602
