period,strategy,ann_return,ann_vol,sharpe,max_drawdown,hit_rate,n_months,calmar,es_5,worst_month
1990-2004,qpp_exact,0.08170368900022007,0.06322460301059415,1.2922768212009095,-0.10924731093963769,0.7486033519553073,179,0.7478782616934501,-0.040654698291427045,-0.10924731093963769
1990-2004,full_mas_exact,0.05729962641799857,0.04431400164287083,1.2930366090559742,-0.057954735213776365,0.7262569832402235,179,0.9886961989669816,-0.024197408591009037,-0.057954735213776316
1990-2004,central_q_exact,0.07423141975122238,0.05822692719064606,1.274864110691855,-0.11450692610663182,0.7374301675977654,179,0.6482701289360974,-0.03736724840979322,-0.07374356965096825
1990-2004,inverse_vol_exact,0.023919082122257906,0.03023129940509951,0.7912025811971272,-0.06397700748714052,0.5921787709497207,179,0.3738699739443999,-0.01603693465563119,-0.023149581575838574
1990-2004,qpp_rebuilt,0.08020254059591592,0.06319310739767531,1.2691659565211748,-0.10939375557947761,0.7430167597765364,179,0.7331546501084016,-0.04088409464045148,-0.10939375557947777
1990-2004,gov_rebuilt,0.07234746709763096,0.0576816965152877,1.2542534541863952,-0.11261582461453945,0.7262569832402235,179,0.6424271841480653,-0.037013458749101634,-0.07181774030286424
1990-2004,maspp_fixed_b035,0.06520399114495512,0.04672234171149356,1.3955634233314793,-0.07595245934457295,0.7877094972067039,179,0.858484263809611,-0.02700062182371947,-0.07595245934457294
1990-2004,maspp_fixed_b05,0.06864870252025201,0.04938532695900599,1.3900627321397763,-0.08366961122295757,0.7932960893854749,179,0.8204735448969784,-0.028885905527407316,-0.08366961122295757
1990-2004,maspp_fixed_b06,0.07095084653409445,0.051608942157980696,1.3747781598953537,-0.08881437914188062,0.770949720670391,179,0.7988666612278036,-0.030516391632090276,-0.08881437914188062
1990-2004,maspp_fixed_b07,0.07325753585794414,0.054140700530088334,1.353095455741873,-0.09395914706080377,0.770949720670391,179,0.7796743387904214,-0.03249917890415733,-0.09395914706080373
1990-2004,maspp_fixed_b08,0.07556877864868428,0.05693951306884052,1.3271764118762441,-0.09910391497972681,0.770949720670391,179,0.7625206195349901,-0.03494752113642944,-0.09910391497972681
1990-2004,maspp_fixed_b09,0.07788458307635793,0.05996799975444949,1.2987690667567926,-0.10424868289865008,0.7597765363128491,179,0.7471037610333824,-0.03791563846675991,-0.10424868289864993
1990-2004,maspp_fixed_b095,0.07904419846079258,0.06155787905981689,1.2840630585076513,-0.10682106685811144,0.7486033519553073,179,0.7399682551924482,-0.039399697131925135,-0.10682106685811144
1990-2004,maspp_global_dynamic,0.0717925572074345,0.0535480053731535,1.3407139389626634,-0.08624199518241915,0.7653631284916201,179,0.8324547345591763,-0.03321979645997306,-0.08624199518241912
1990-2004,maspp_cluster_dynamic,0.0695577822402822,0.0490419692551659,1.418331753326876,-0.07671411874863221,0.770949720670391,179,0.9067142186459959,-0.030141832971098053,-0.07671411874863222
1990-2004,maspp_cluster_reliability,0.06943884242184373,0.049806258684698006,1.3941790500955142,-0.07920833073935618,0.7597765363128491,179,0.876660848343591,-0.031019955738799412,-0.07920833073935614
1990-2004,central_cluster_dynamic,0.07729684234391287,0.058459293840479265,1.3222335965062553,-0.08920412128950161,0.7597765363128491,179,0.8665164930334883,-0.038489367219528364,-0.08920412128950157
1990-2004,inversevol_cluster_dynamic,0.06300565944238068,0.04593491722106953,1.371628888306369,-0.07482437578356482,0.7541899441340782,179,0.842047244398394,-0.02747163328391082,-0.07482437578356478
2005-2014,qpp_exact,0.021492602035930286,0.032702790631170764,0.6572100307380052,-0.09998856648542298,0.6833333333333333,120,0.2149505967671176,-0.027457404890932638,-0.04590248761174298
2005-2014,full_mas_exact,0.01215622973123942,0.025372259957691764,0.47911497641557865,-0.0850651033112716,0.575,120,0.142905013431385,-0.019284578185032538,-0.02831663620715239
2005-2014,central_q_exact,0.00848852277151635,0.043468070263074386,0.19528179466313345,-0.15171741279374307,0.5833333333333334,120,0.055949561854553465,-0.03629090643818361,-0.06639715500925128
2005-2014,inverse_vol_exact,0.014452039542197648,0.020078263909869713,0.7197853164532604,-0.05750267271805565,0.575,120,0.2513281358774086,-0.012020071752021258,-0.02492806669983171
2005-2014,qpp_rebuilt,0.01998296315838055,0.03271874953528402,0.6107495989976894,-0.10069191434165559,0.675,120,0.19845648271793487,-0.02757825037503987,-0.04599512292830448
2005-2014,gov_rebuilt,0.008134136806519976,0.043584627610807745,0.18662857187066895,-0.15355895365769634,0.5916666666666667,120,0.05297077515031827,-0.036298208823848835,-0.06706232290726535
2005-2014,maspp_fixed_b035,0.014735615236156852,0.02625972086894084,0.5611489668797534,-0.0903600558143638,0.6416666666666667,120,0.16307665044419387,-0.021982137674160223,-0.032901723401219225
2005-2014,maspp_fixed_b05,0.015944895362532074,0.02726364072148293,0.5848410168480535,-0.09258129869295584,0.6416666666666667,120,0.17222587701446082,-0.023130130299037033,-0.03486414919916084
2005-2014,maspp_fixed_b06,0.016751815864671338,0.028116193728041826,0.5958066737875629,-0.09407065919765434,0.675,120,0.17807694777043773,-0.023895458715621574,-0.03657710651714708
2005-2014,maspp_fixed_b07,0.017559323821053407,0.029100658093223722,0.6033995439141705,-0.0955668272853244,0.6916666666666667,120,0.18373869175993754,-0.024660787132206125,-0.038931568878731906
2005-2014,maspp_fixed_b08,0.018367419620451075,0.030204138135492112,0.6081093768693896,-0.09706978747553408,0.7,120,0.18921870643922534,-0.02546667891808271,-0.04128603124031672
2005-2014,maspp_fixed_b09,0.019176103651868504,0.031414094398857395,0.6104299365881445,-0.09857952420528537,0.7,120,0.19452420577660254,-0.026522353636952104,-0.04364049360190154
2005-2014,maspp_fixed_b095,0.01958066637621192,0.03205527492239397,0.6108406938832015,-0.09933692888646584,0.675,120,0.1971136675524875,-0.027050190996386805,-0.044817724782693955
2005-2014,maspp_global_dynamic,0.016916579606769178,0.029337057479698107,0.5766283690338005,-0.0942420035129291,0.7,120,0.1795014852846203,-0.024476728857716668,-0.04010880005952431
2005-2014,maspp_cluster_dynamic,0.015648398450729406,0.026277779864089666,0.5954992595136998,-0.08735799656103194,0.6666666666666666,120,0.17912954814384718,-0.02218386337663132,-0.03335156142590824
2005-2014,maspp_cluster_reliability,0.015831386709858508,0.02620671587826343,0.6040965523264781,-0.08606546078058919,0.6666666666666666,120,0.18394587754800062,-0.021999557479715156,-0.03395345579813467
2005-2014,central_cluster_dynamic,0.016952792160405794,0.035777448216146535,0.47384017043325405,-0.11987849630812375,0.675,120,0.14141645651637158,-0.030145331420585248,-0.05452788946227323
2005-2014,inversevol_cluster_dynamic,0.01690273989966129,0.023561468488535003,0.7173890671494502,-0.07529677708061144,0.6916666666666667,120,0.2244815854676689,-0.01830842644252762,-0.03055467518791264
2020-2024,qpp_exact,0.007467677187970478,0.043126258585272866,0.17315847543799234,-0.07385850976449215,0.5166666666666667,60,0.1011078779111869,-0.03219927140133869,-0.04687981519931029
2020-2024,full_mas_exact,0.010341691171465994,0.040413794276618,0.2558950812853851,-0.0784920499370787,0.5,60,0.13175463221760889,-0.025615548170633787,-0.029464039113964866
2020-2024,central_q_exact,0.028466343825915397,0.05095695145940215,0.5586351422257821,-0.07637605446350015,0.5833333333333334,60,0.37271294027788987,-0.03181142958272878,-0.0461017196008639
2020-2024,inverse_vol_exact,0.008207473291405476,0.03083551790934811,0.26616946456142687,-0.05254130113229427,0.5,60,0.15620993607942438,-0.0200228486153728,-0.02396253894037082
2020-2024,qpp_rebuilt,0.005721354034660786,0.04311652930960168,0.1326951432843341,-0.07480182927788159,0.48333333333333334,60,0.07648681977290298,-0.03232956400330108,-0.04695462726263953
2020-2024,gov_rebuilt,0.029246396338641567,0.05090207913748198,0.574561920342186,-0.07551601389479401,0.5833333333333334,60,0.38728734251501296,-0.03124818241322792,-0.04472336263506302
2020-2024,maspp_fixed_b035,0.008539731957054153,0.03713059228926934,0.22999180542353256,-0.06342184640084991,0.5166666666666667,60,0.13464968999924468,-0.025932161672710702,-0.035603227488031366
2020-2024,maspp_fixed_b05,0.00788935854724393,0.037141980027171145,0.21241082304908043,-0.06571393213494536,0.55,60,0.12005610212219404,-0.026055706802038187,-0.03822273025525502
2020-2024,maspp_fixed_b06,0.0074559898836317196,0.037639859784494245,0.19808761048316173,-0.06752054763435,0.55,60,0.11042549482875645,-0.026268904692994807,-0.03996906543340411
2020-2024,maspp_fixed_b07,0.007022792036256886,0.038513974200893655,0.1823439980414676,-0.06933245715223935,0.5333333333333333,60,0.1012915497980452,-0.027215413565743734,-0.0417154006115532
2020-2024,maspp_fixed_b08,0.00658976494390906,0.039739503932370954,0.1658240363323,-0.07114962271545333,0.5,60,0.0926184102235274,-0.028590473452885304,-0.04346173578970232
2020-2024,maspp_fixed_b09,0.0061569085453978545,0.04128516606152696,0.14913125300797533,-0.07297200636538836,0.48333333333333334,60,0.08437356805798561,-0.030321638203248402,-0.045208070967851406
2020-2024,maspp_fixed_b095,0.005940544337213138,0.04216733177065202,0.1408802522655154,-0.0738851431148938,0.48333333333333334,60,0.08040242038883783,-0.03132550244408686,-0.04608123855692594
2020-2024,maspp_global_dynamic,0.007934301425182033,0.04046675303468346,0.19606963322166374,-0.07522174574114471,0.5166666666666667,60,0.10547882593001479,-0.02905991957348152,-0.04608123855692594
2020-2024,maspp_cluster_dynamic,0.010376166274168597,0.03781758772119645,0.27437409151173436,-0.06646829944281474,0.55,60,0.15610699177125203,-0.02563766058230366,-0.04049492712223345
